id,carat,cut,color,clarity,depth,table,x,y,z,price
8548,0.37,Ideal,E,VVS2,61.4,56.0,4.64,4.67,2.86,6.775
8549,1.02,Ideal,H,SI2,61.9,56.0,6.47,6.51,4.02,8.379
8550,1.5,Premium,I,SI2,62.8,57.0,7.34,7.25,4.58,8.951
8551,0.7,Good,H,SI1,63.4,61.0,5.58,5.62,3.55,7.633
8552,0.52,Ideal,D,SI1,62.4,56.0,5.17,5.12,3.21,7.45
8553,0.31,Good,F,VS2,63.4,56.0,4.29,4.32,2.73,6.438
8554,0.41,Premium,G,VS2,62.6,59.0,4.76,4.73,2.97,6.967
8555,0.5,Premium,H,SI1,62.3,59.0,5.02,4.99,3.12,6.998
8556,0.3,Ideal,J,VS1,59.7,57.0,4.37,4.4,2.62,5.976
8557,0.7,Ideal,G,VS2,61.6,57.0,5.7,5.73,3.53,8.087
8558,0.24,Very Good,E,VVS1,62.8,59.0,3.94,3.96,2.48,6.184
8559,0.25,Premium,G,SI2,59.0,60.0,5.33,5.28,3.12,7.078
8560,0.51,Ideal,D,SI1,61.8,55.0,5.15,5.11,3.17,7.361
8561,1.01,Premium,H,VS2,62.1,57.0,6.45,6.39,3.99,8.541
8562,0.7,Ideal,E,VS1,62.6,55.0,5.66,5.69,3.55,8.061
8563,0.51,Very Good,F,VVS2,60.8,56.0,5.17,5.2,3.15,7.621
8564,0.31,Premium,I,VS2,59.3,59.0,4.42,4.38,2.61,6.256
8565,0.4,Premium,E,SI2,60.5,59.0,4.74,4.78,2.88,6.461
8566,1.24,Ideal,F,SI2,60.0,56.0,7.03,7.0,4.21,8.517
8567,1.12,Premium,G,VVS1,58.9,60.0,6.91,6.78,4.03,9.014
8568,1.12,Premium,H,VS1,62.1,58.0,6.6,6.64,4.11,8.673
8569,0.31,Very Good,G,VS1,61.9,54.0,4.36,4.4,2.71,6.461
8570,0.7,Good,F,SI1,58.7,61.0,5.77,5.81,3.4,7.725
8571,0.32,Premium,G,VS1,59.2,59.0,4.47,4.45,2.64,6.719
8572,0.34,Premium,E,SI2,61.5,58.0,4.52,4.49,2.77,6.417
8573,0.74,Fair,F,VS2,64.6,55.0,5.74,5.66,3.68,7.862
8574,2.23,Very Good,G,I1,63.5,57.0,8.24,8.2,5.22,8.855
8575,0.54,Ideal,H,VVS1,61.1,57.0,5.26,5.22,3.2,7.573
8576,0.81,Very Good,J,VS2,60.4,59.0,6.04,6.11,3.67,7.733
8577,0.23,Very Good,H,VVS1,61.6,56.0,3.94,3.97,2.43,6.073
8578,1.7,Ideal,H,SI2,61.9,59.0,7.59,7.67,4.72,9.197
8579,0.35,Premium,G,SI1,60.6,58.0,4.6,4.58,2.78,6.506
8580,0.3,Ideal,F,VS1,61.0,56.0,4.35,4.37,2.66,6.346
8581,1.2,Ideal,F,VVS1,62.0,56.0,6.76,6.82,4.21,9.346
8582,1.09,Very Good,F,SI2,58.6,63.0,6.73,6.78,3.96,8.44
8583,0.95,Premium,G,SI1,62.6,58.0,6.26,6.21,3.9,8.331
8584,0.39,Ideal,E,VVS2,61.9,55.0,4.7,4.73,2.92,6.941
8585,0.8,Very Good,F,SI1,61.6,56.0,5.96,6.0,3.68,8.092
8586,0.3,Premium,G,VS2,61.1,62.0,4.33,4.28,2.63,6.446
8587,0.43,Ideal,E,VS1,61.2,56.0,4.89,4.94,3.01,6.889
8588,0.81,Premium,F,SI1,61.3,60.0,6.0,5.94,3.66,7.981
8589,0.7,Ideal,G,VS2,62.3,57.0,5.67,5.7,3.54,7.909
8590,0.51,Ideal,G,SI2,62.0,56.0,5.13,5.16,3.19,7.08
8591,0.39,Ideal,J,VVS2,62.0,54.5,4.67,4.7,2.9,6.532
8592,1.01,Very Good,E,SI2,60.9,58.0,6.45,6.49,3.94,8.426
8593,1.21,Very Good,J,SI1,61.6,59.0,6.8,6.83,4.2,8.515
8594,0.43,Premium,G,VS2,60.8,59.0,4.86,4.91,2.97,6.765
8595,1.06,Ideal,E,SI2,62.2,55.0,6.51,6.54,4.06,8.561
8596,1.21,Very Good,G,VVS2,60.4,56.0,6.88,6.92,4.17,9.157
8597,0.23,Ideal,E,VVS2,62.5,57.0,3.92,3.99,2.47,6.273
8598,1.03,Premium,H,SI1,62.4,58.0,6.5,6.42,4.03,8.36
8599,0.9,Very Good,H,VVS2,59.9,61.0,6.29,6.19,3.74,8.442
8600,0.3,Premium,E,SI1,60.0,60.0,4.38,4.36,2.62,6.515
8601,1.23,Good,H,SI1,63.9,56.0,6.81,6.77,4.34,8.681
8602,1.7,Ideal,H,SI1,62.2,53.0,7.67,7.6,4.75,9.151
8603,1.5,Very Good,I,VS2,60.1,60.0,7.38,7.35,4.43,9.102
8604,0.52,Ideal,E,VS2,60.4,57.0,5.17,5.22,3.14,7.363
8605,2.63,Premium,J,I1,62.3,61.0,8.81,8.76,5.47,9.271
8606,0.53,Ideal,F,VS1,62.1,57.0,5.16,5.21,3.22,7.502
8607,0.3,Very Good,E,VVS2,62.4,57.0,4.28,4.31,2.68,6.632
8608,0.51,Ideal,D,SI2,59.8,55.0,5.23,5.17,3.11,7.215
8609,0.41,Premium,H,VVS2,62.2,58.0,4.74,4.71,2.94,6.868
8610,0.4,Good,G,SI1,63.4,58.0,4.66,4.71,2.97,6.485
8611,1.65,Very Good,H,VS1,62.0,54.0,7.55,7.62,4.7,9.448
8612,0.71,Ideal,I,VS2,61.0,58.0,5.77,5.81,3.53,7.669
8613,0.49,Premium,D,SI1,61.3,57.0,5.21,5.02,3.14,7.275
8614,0.9,Good,H,SI2,62.7,64.0,6.0,6.09,3.79,7.984
8615,1.16,Ideal,D,VVS2,61.9,55.0,6.72,6.76,4.17,9.418
8616,1.29,Premium,I,SI1,62.0,59.0,7.03,6.98,4.34,8.723
8617,0.35,Ideal,E,VS2,61.7,56.0,4.56,4.52,2.8,6.892
8618,1.93,Ideal,F,SI1,59.5,60.0,8.1,8.13,4.83,9.815
8619,0.35,Ideal,G,SI1,60.6,56.0,4.56,4.58,2.77,6.319
8620,0.52,Ideal,D,VVS2,59.9,57.0,5.28,5.21,3.14,7.755
8621,1.51,Good,F,SI2,63.7,59.0,7.15,7.26,4.59,8.883
8622,0.4,Very Good,E,VS2,63.8,55.0,4.66,4.71,2.99,6.673
8623,0.71,Very Good,I,VS2,62.3,58.0,5.68,5.72,3.55,7.627
8624,0.3,Premium,D,SI1,63.0,58.0,4.27,4.24,2.68,6.564
8625,0.32,Ideal,H,VS2,61.5,56.0,4.4,4.38,2.7,6.474
8626,1.5,Good,H,SI2,57.3,62.0,7.55,7.5,4.31,8.671
8627,0.41,Very Good,G,VS2,61.7,61.0,4.7,4.74,2.91,6.718
8628,0.77,Very Good,E,SI1,63.2,58.0,5.8,5.84,3.68,7.963
8629,0.3,Ideal,E,VS2,62.0,55.0,4.3,4.35,2.68,6.489
8630,0.53,Ideal,E,VS2,61.9,56.0,5.19,5.21,3.22,7.451
8631,0.5,Ideal,E,VVS2,62.2,54.0,5.08,5.12,3.17,7.969
8632,0.4,Ideal,H,VS1,61.2,55.0,4.75,4.79,2.92,6.675
8633,1.05,Premium,G,SI1,59.1,57.0,6.73,6.63,3.95,8.414
8634,1.01,Very Good,F,VS2,63.1,60.0,6.39,6.29,4.0,8.744
8635,0.9,Good,G,SI1,62.8,59.0,6.08,6.12,3.83,8.225
8636,1.24,Ideal,J,VS2,62.8,56.0,6.83,6.8,4.28,8.604
8637,0.55,Ideal,G,VS1,61.3,57.0,5.25,5.28,3.23,7.419
8638,0.33,Ideal,D,VS2,60.9,55.0,4.5,4.46,2.73,6.91
8639,0.9,Very Good,E,VS2,62.7,56.0,6.13,6.21,3.87,8.488
8640,0.91,Very Good,G,SI1,63.5,61.0,6.1,6.05,3.86,8.219
8641,0.95,Fair,D,SI2,64.4,60.0,6.06,6.02,3.89,8.127
8642,1.8,Good,F,SI2,57.9,58.0,8.13,8.08,4.69,9.418
8643,0.41,Ideal,E,VS2,62.2,56.0,4.75,4.8,2.97,6.743
8644,0.33,Very Good,H,VVS2,61.9,56.0,4.44,4.47,2.76,6.42
8645,0.7,Very Good,G,SI1,62.7,55.0,5.63,5.66,3.54,7.732
8646,0.35,Ideal,D,VS2,61.3,56.0,4.56,4.54,2.79,6.969
8647,0.3,Premium,G,VS1,61.8,59.0,4.37,4.34,2.69,6.654
8648,1.01,Premium,E,SI2,62.5,60.0,6.42,6.39,4.0,8.397
8649,1.28,Very Good,I,VS1,62.8,57.0,6.9,6.95,4.35,8.814
8650,1.57,Very Good,I,VS2,60.3,58.0,7.58,7.55,4.56,9.254
8651,1.1,Ideal,D,VVS2,62.0,57.0,6.62,6.57,4.09,9.327
8652,1.0,Very Good,F,SI2,59.9,61.0,6.42,6.46,3.86,8.356
8653,1.05,Ideal,H,SI1,61.1,56.0,6.52,6.58,4.0,8.556
8654,0.91,Good,E,SI1,63.5,57.0,6.07,6.11,3.87,8.345
8655,1.34,Premium,G,SI2,61.7,58.0,7.04,7.1,4.36,8.774
8656,0.32,Ideal,F,SI1,60.6,57.0,4.45,4.49,2.71,6.404
8657,0.35,Ideal,H,IF,60.8,56.0,4.61,4.6,2.8,6.925
8658,0.33,Very Good,G,IF,62.6,55.0,4.41,4.44,2.77,6.8
8659,0.35,Ideal,F,VS2,61.5,57.0,4.52,4.56,2.79,6.56
8660,1.29,Ideal,G,VVS2,62.4,57.0,6.97,6.94,4.34,9.288
8661,0.3,Ideal,G,VVS2,61.8,57.0,4.29,4.32,2.66,6.5
8662,0.42,Ideal,G,VVS2,61.4,54.0,4.81,4.9,2.98,6.869
8663,0.26,Very Good,E,VVS2,61.4,57.0,4.1,4.13,2.52,6.227
8664,0.83,Ideal,E,SI2,61.9,53.0,6.04,6.08,3.75,8.04
8665,1.51,Fair,H,VS2,64.9,53.0,7.28,7.24,4.71,8.927
8666,0.88,Very Good,I,VS1,63.3,55.0,6.11,6.06,3.85,8.005
8667,0.81,Ideal,F,IF,61.5,55.0,5.98,6.05,3.7,8.754
8668,1.26,Ideal,J,VS1,62.2,58.0,6.88,6.92,4.29,8.753
8669,0.65,Very Good,D,VVS2,59.9,58.0,5.63,5.69,3.39,8.025
8670,0.72,Ideal,G,SI1,60.7,56.0,5.79,5.82,3.53,7.929
8671,2.09,Premium,J,SI1,62.2,59.0,8.23,8.16,5.1,9.537
8672,0.38,Ideal,I,VS1,62.3,55.0,4.63,4.66,2.89,6.555
8673,1.75,Very Good,G,VS2,62.8,59.0,7.53,7.62,4.76,9.685
8674,1.09,Ideal,E,SI1,61.8,55.0,6.65,6.58,4.09,8.832
8675,0.42,Ideal,E,VS2,62.1,56.0,4.8,4.77,2.97,6.931
8676,0.72,Ideal,J,SI1,62.7,56.0,5.75,5.67,3.58,7.565
8677,2.32,Very Good,I,SI1,63.2,59.0,8.55,8.44,5.37,9.819
8678,0.39,Ideal,F,VS1,62.5,57.0,4.66,4.69,2.92,6.797
8679,0.42,Ideal,D,VVS2,62.0,55.0,4.81,4.84,2.99,7.032
8680,0.53,Premium,G,VS2,62.0,58.0,5.21,5.18,3.22,7.382
8681,0.39,Ideal,J,SI2,62.6,54.0,4.64,4.69,2.92,6.111
8682,1.01,Premium,E,SI2,60.4,57.0,6.53,6.49,3.93,8.243
8683,1.61,Premium,F,VS2,61.6,61.0,7.54,7.47,4.62,9.605
8684,0.26,Very Good,H,VVS2,60.5,56.0,4.13,4.16,2.51,6.186
8685,0.53,Very Good,G,VVS1,60.3,54.0,5.29,5.33,3.2,7.552
8686,0.32,Premium,E,SI1,60.2,60.0,4.39,4.44,2.66,6.33
8687,0.3,Ideal,G,VVS1,61.5,57.0,4.28,4.31,2.64,6.639
8688,0.31,Premium,G,SI2,60.3,59.0,4.35,4.37,2.63,6.011
8689,0.29,Very Good,F,VVS2,63.1,57.0,4.22,4.3,2.69,6.498
8690,1.61,Very Good,J,SI1,61.7,60.0,7.45,7.5,4.61,8.948
8691,0.3,Good,I,VVS1,63.8,56.0,4.23,4.26,2.71,6.314
8692,1.02,Very Good,H,VS2,60.6,60.0,6.55,6.48,3.95,8.593
8693,0.71,Ideal,D,SI1,60.9,57.0,5.75,5.79,3.51,8.09
8694,1.71,Ideal,I,SI2,62.1,58.0,7.64,7.56,4.72,9.22
8695,0.84,Good,G,VS2,63.6,59.0,5.89,5.94,3.76,8.123
8696,0.53,Ideal,H,SI2,61.6,54.0,5.22,5.26,3.23,6.928
8697,1.51,Very Good,F,SI2,63.2,60.0,7.2,7.27,4.57,9.043
8698,0.3,Ideal,H,VVS1,61.8,55.0,4.34,4.37,2.69,6.5
8699,1.07,Ideal,G,SI1,61.9,55.0,6.62,6.57,4.08,8.602
8700,0.7,Ideal,I,VVS1,61.4,55.0,5.7,5.76,3.52,7.82
8701,0.38,Premium,G,VS2,60.8,61.0,4.66,4.65,2.83,6.891
8702,1.07,Very Good,H,SI2,62.1,58.0,6.53,6.57,4.07,8.459
8703,1.21,Very Good,H,SI2,61.1,60.0,6.86,6.91,4.21,8.515
8704,0.71,Ideal,G,SI2,62.2,56.0,5.7,5.74,3.56,7.612
8705,0.73,Ideal,G,VS1,60.2,56.0,5.86,5.9,3.54,8.093
8706,2.09,Premium,F,SI2,61.3,59.0,8.19,8.15,5.01,9.424
8707,1.01,Good,D,VVS2,63.7,57.0,6.29,6.36,4.03,9.099
8708,0.7,Very Good,E,SI2,62.8,59.0,5.64,5.69,3.56,7.805
8709,0.82,Premium,I,VS2,62.2,59.0,5.97,6.03,3.73,7.898
8710,0.32,Ideal,F,VS2,61.6,57.0,4.43,4.4,2.72,6.719
8711,0.51,Premium,F,SI2,58.3,61.0,5.18,5.14,3.01,6.943
8712,1.16,Ideal,D,SI2,62.1,54.0,6.74,6.79,4.2,8.664
8713,1.33,Very Good,G,VS2,61.7,59.0,7.04,7.09,4.36,9.1
8714,0.42,Ideal,E,VVS1,59.7,56.0,4.88,4.91,2.92,7.175
8715,1.24,Ideal,I,SI2,60.7,57.0,6.98,6.92,4.22,8.479
8716,0.9,Very Good,E,SI1,61.4,56.0,6.19,6.23,3.81,8.592
8717,0.39,Very Good,G,SI1,61.7,57.0,4.77,4.7,2.92,6.528
8718,0.4,Ideal,F,VVS2,60.4,56.0,4.79,4.82,2.9,6.902
8719,0.53,Ideal,F,VS1,62.2,55.0,5.22,5.17,3.23,7.554
8720,0.46,Very Good,E,SI1,61.4,62.0,4.92,4.95,3.03,6.949
8721,0.7,Premium,F,VS1,61.7,60.0,5.67,5.64,3.49,7.889
8722,2.01,Very Good,G,SI1,59.1,57.0,8.16,8.23,4.84,9.802
8723,0.56,Ideal,E,VS2,61.6,57.0,5.3,5.32,3.27,7.393
8724,0.81,Ideal,E,SI1,61.9,55.0,5.98,6.01,3.71,8.272
8725,0.34,Ideal,G,IF,61.6,56.0,4.48,4.51,2.77,6.922
8726,0.56,Very Good,F,VS2,60.8,57.0,5.29,5.33,3.23,7.442
8727,0.71,Ideal,I,VS1,61.3,57.0,5.73,5.75,3.51,7.834
8728,0.3,Very Good,F,VVS1,58.1,61.0,4.39,4.42,2.56,6.755
8729,1.1,Premium,E,SI1,60.7,55.0,6.75,6.66,4.07,8.716
8730,0.71,Premium,F,SI2,60.6,58.0,5.77,5.72,3.48,7.768
8731,0.5,Good,D,IF,63.2,59.0,4.99,5.04,3.17,8.125
8732,0.8,Very Good,H,VS1,62.7,56.0,5.88,5.96,3.71,8.053
8733,0.34,Ideal,H,VVS1,62.0,54.0,4.48,4.46,2.77,6.903
8734,0.44,Ideal,D,VS1,61.3,56.0,4.87,4.92,3.0,7.119
8735,0.81,Premium,I,SI1,61.8,58.0,5.97,5.91,3.68,7.746
8736,0.36,Premium,E,SI1,60.9,60.0,4.61,4.56,2.79,6.697
8737,0.32,Very Good,G,VVS1,60.9,61.0,4.37,4.4,2.67,6.736
8738,1.19,Premium,H,VS1,62.4,59.0,6.79,6.73,4.22,8.892
8739,0.4,Very Good,E,SI2,62.1,60.0,4.65,4.69,2.9,6.468
8740,0.36,Very Good,E,SI1,63.5,58.0,4.46,4.49,2.84,6.385
8741,1.0,Ideal,E,SI1,61.9,56.0,6.37,6.45,3.97,8.605
8742,1.79,Very Good,I,VS2,60.5,56.0,7.87,7.9,4.77,9.442
8743,0.3,Good,D,SI2,63.3,57.0,4.26,4.3,2.71,6.103
8744,0.73,Good,E,VS2,63.3,60.0,5.67,5.73,3.61,7.909
8745,0.34,Ideal,D,VVS1,61.5,56.0,4.47,4.5,2.76,7.033
8746,1.09,Ideal,G,VS2,60.6,57.0,6.68,6.73,4.06,8.886
8747,0.73,Ideal,H,IF,61.6,55.0,5.8,5.82,3.58,8.125
8748,2.66,Good,H,SI2,64.3,60.0,8.71,8.65,5.58,9.825
8749,0.59,Good,E,SI2,57.4,62.0,5.53,5.49,3.16,7.191
8750,0.35,Premium,E,SI2,59.9,61.0,4.59,4.56,2.74,6.51
8751,0.58,Fair,E,VS1,57.9,56.0,5.52,5.49,3.19,7.693
8752,1.06,Premium,G,VS2,62.5,58.0,6.52,6.47,4.06,8.62
8753,1.22,Very Good,I,VS1,61.6,60.0,6.86,6.8,4.21,8.694
8754,0.79,Premium,E,VVS1,62.8,60.0,5.89,5.8,3.67,8.41
8755,0.41,Premium,D,VVS2,62.2,58.0,4.78,4.8,2.98,7.008
8756,1.5,Very Good,F,SI2,62.9,55.0,7.26,7.28,4.57,9.192
8757,0.72,Ideal,E,SI2,62.5,55.0,5.69,5.74,3.57,7.836
8758,0.32,Very Good,F,SI2,63.1,56.0,4.38,4.34,2.75,6.292
8759,0.39,Ideal,G,VVS2,62.0,54.5,4.67,4.7,2.91,6.859
8760,0.32,Very Good,F,VS2,61.4,58.0,4.37,4.42,2.7,6.321
8761,0.57,Ideal,F,VS1,61.0,56.0,5.36,5.4,3.28,7.693
8762,1.54,Ideal,H,SI2,61.8,57.0,7.43,7.35,4.57,8.715
8763,0.9,Good,E,SI1,63.8,56.0,6.12,6.05,3.88,8.243
8764,1.72,Good,F,SI1,64.3,60.0,7.52,7.56,4.85,9.51
8765,0.54,Ideal,D,VVS2,61.6,54.0,5.25,5.27,3.24,7.857
8766,0.35,Premium,E,VS2,58.9,59.0,4.64,4.59,2.72,6.892
8767,0.73,Ideal,E,VS2,62.2,59.0,5.74,5.77,3.58,8.07
8768,0.7,Very Good,E,VS1,61.5,56.0,5.69,5.75,3.52,7.995
8769,0.33,Good,I,SI1,63.6,53.0,4.4,4.43,2.81,6.073
8770,0.32,Ideal,F,VS1,61.1,57.0,4.42,4.45,2.71,6.48
8771,0.41,Premium,I,VVS2,62.1,58.0,4.76,4.78,2.96,6.718
8772,1.0,Ideal,J,SI1,62.7,58.0,6.35,6.41,4.0,8.24
8773,0.37,Ideal,I,VVS2,61.9,54.0,4.62,4.66,2.87,6.449
8774,1.2,Ideal,D,VVS2,62.7,54.0,6.8,6.82,4.27,9.549
8775,1.28,Premium,H,VS2,59.4,60.0,7.07,7.03,4.19,8.679
8776,1.37,Ideal,G,VS1,61.1,55.0,7.2,7.16,4.39,9.306
8777,1.2,Ideal,H,VS1,61.9,57.0,6.77,6.73,4.18,8.564
8778,0.38,Good,H,SI1,63.3,57.0,4.58,4.62,2.91,6.45
8779,0.31,Premium,E,SI1,59.2,60.0,4.42,4.36,2.6,6.548
8780,2.01,Very Good,H,SI1,63.1,56.0,8.05,8.0,5.06,9.378
8781,0.71,Very Good,G,SI1,63.3,56.0,5.66,5.69,3.59,7.729
8782,0.4,Good,G,SI1,63.2,58.0,4.61,4.7,2.94,6.485
8783,0.41,Premium,D,SI1,62.1,59.0,4.74,4.76,2.95,6.673
8784,0.7,Good,E,SI1,65.0,57.0,5.53,5.58,3.61,7.62
8785,1.04,Very Good,H,SI1,63.2,57.0,6.45,6.4,4.06,8.369
8786,0.47,Good,F,VS1,60.0,60.1,5.04,5.06,3.03,7.125
8787,1.09,Very Good,F,VVS1,61.4,58.0,6.6,6.65,4.07,9.256
8788,0.41,Premium,I,VVS1,59.8,61.0,4.84,4.79,2.88,7.009
8789,1.12,Very Good,D,SI2,61.2,60.0,6.63,6.67,4.07,8.563
8790,1.06,Ideal,G,VS2,62.2,56.0,6.51,6.54,4.06,8.804
8791,1.5,Good,J,VS1,60.7,61.0,7.27,7.3,4.42,9.03
8792,1.51,Very Good,D,SI2,59.7,58.0,7.43,7.48,4.45,9.172
8793,0.42,Ideal,G,SI1,61.6,56.0,4.83,4.85,2.98,7.035
8794,1.1,Ideal,H,SI1,62.5,57.0,6.6,6.56,4.11,8.469
8795,1.03,Very Good,F,SI2,62.0,58.0,6.43,6.51,4.01,8.393
8796,0.41,Fair,I,VS1,65.3,58.0,4.62,4.66,3.03,6.6
8797,1.52,Very Good,H,SI2,62.7,57.0,7.32,7.36,4.6,9.011
8798,1.01,Ideal,G,VS2,61.9,55.0,6.49,6.46,4.01,8.717
8799,0.52,Ideal,H,VS1,62.0,56.0,5.14,5.2,3.21,7.377
8800,0.7,Premium,H,VS1,62.8,60.0,5.61,5.56,3.51,7.769
8801,0.7,Ideal,J,VVS1,61.6,58.0,5.69,5.71,3.51,7.573
8802,2.02,Good,I,VS2,57.9,62.0,8.28,8.36,4.82,9.717
8803,0.3,Very Good,I,VVS1,63.1,57.0,4.29,4.27,2.7,6.564
8804,0.32,Premium,G,VVS2,62.3,54.0,4.45,4.38,2.75,6.842
8805,0.38,Ideal,H,IF,60.0,60.0,4.71,4.76,2.84,6.97
8806,0.7,Ideal,F,SI1,62.1,56.0,5.65,5.67,3.51,7.853
8807,0.34,Ideal,E,VS1,62.4,55.0,4.44,4.47,2.78,6.691
8808,0.4,Ideal,G,VVS1,61.7,55.0,4.73,4.76,2.93,7.225
8809,0.42,Very Good,D,VS1,60.6,58.0,4.87,4.9,2.96,6.917
8810,0.35,Ideal,I,VS2,62.5,57.0,4.5,4.53,2.82,6.196
8811,0.4,Ideal,G,VVS1,61.5,57.0,4.74,4.79,2.93,6.965
8812,0.32,Very Good,E,VS2,61.6,58.0,4.4,4.47,2.73,6.387
8813,1.2,Very Good,F,VS1,62.9,57.0,6.73,6.78,4.25,9.168
8814,1.05,Ideal,F,SI2,62.7,54.0,6.5,6.54,4.09,8.49
8815,0.34,Ideal,D,SI1,62.8,55.0,4.5,4.45,2.81,6.688
8816,1.0,Ideal,F,SI2,61.8,57.0,6.45,6.36,3.96,8.36
8817,0.26,Ideal,F,VS2,62.1,54.0,4.09,4.12,2.55,6.122
8818,0.56,Premium,H,VS2,62.2,60.0,5.28,5.23,3.27,7.267
8819,0.3,Ideal,D,VS2,61.7,55.0,4.33,4.36,2.68,6.565
8820,0.35,Ideal,E,VVS1,61.8,56.0,4.53,4.5,2.79,6.874
8821,0.33,Ideal,H,VS1,61.6,55.0,4.46,4.48,2.75,6.413
8822,1.22,Premium,G,VS2,61.1,56.0,6.94,6.85,4.21,8.995
8823,0.36,Very Good,H,VVS2,61.3,55.0,4.58,4.64,2.81,6.504
8824,0.59,Ideal,E,VVS2,61.0,58.0,5.39,5.43,3.3,7.83
8825,2.03,Ideal,J,SI2,62.1,57.0,8.06,8.12,5.02,9.451
8826,2.02,Premium,H,SI1,62.2,59.0,8.09,8.05,5.02,9.587
8827,1.71,Premium,I,VS2,62.8,59.0,7.58,7.52,4.74,9.389
8828,1.05,Premium,D,SI2,60.4,57.0,6.6,6.55,3.97,8.529
8829,1.47,Premium,H,SI2,59.3,59.0,7.39,7.34,4.37,8.932
8830,0.31,Premium,H,VS1,61.7,61.0,4.34,4.31,2.67,6.548
8831,0.3,Good,D,VVS2,61.6,63.0,4.23,4.27,2.62,6.578
8832,4.01,Premium,J,I1,62.5,62.0,10.02,9.94,6.24,9.631
8833,1.04,Very Good,F,IF,63.0,55.0,6.36,6.53,4.06,9.236
8834,0.41,Very Good,H,SI1,62.6,59.0,4.72,4.77,2.97,6.526
8835,1.06,Ideal,F,SI1,62.1,57.0,6.51,6.53,4.05,8.64
8836,2.01,Ideal,H,SI1,65.1,56.0,7.91,7.84,5.12,9.725
8837,0.34,Very Good,H,VS2,62.4,60.0,4.41,4.44,2.76,6.286
8838,1.16,Premium,F,SI2,61.2,61.0,6.77,6.74,4.14,8.481
8839,0.55,Good,D,SI2,63.2,56.0,5.21,5.24,3.3,7.148
8840,0.32,Premium,J,IF,61.2,59.0,4.44,4.41,2.71,6.528
8841,0.31,Ideal,E,VS1,61.8,55.0,4.36,4.38,2.7,6.54
8842,1.5,Very Good,E,SI2,62.1,59.0,7.26,7.33,4.53,9.164
8843,1.0,Fair,G,SI2,64.7,58.0,6.24,6.19,4.02,8.172
8844,0.75,Fair,J,SI1,55.0,66.0,6.2,6.04,3.37,7.51
8845,0.35,Ideal,D,VVS2,61.6,54.0,4.55,4.57,2.81,6.851
8846,0.38,Ideal,D,VVS2,61.4,57.0,4.66,4.72,2.88,6.975
8847,0.28,Very Good,H,VVS1,61.5,58.0,4.17,4.22,2.58,6.223
8848,0.5,Ideal,D,VS2,62.0,56.0,5.1,5.13,3.17,7.395
8849,0.33,Ideal,F,IF,62.1,56.0,4.41,4.44,2.75,7.236
8850,0.88,Very Good,H,VS2,63.2,57.0,6.08,6.15,3.87,8.152
8851,0.91,Very Good,E,SI1,63.1,58.0,6.17,6.12,3.88,8.397
8852,0.38,Ideal,D,VVS1,60.7,57.0,4.69,4.74,2.86,7.147
8853,0.24,Very Good,F,VVS2,62.0,58.0,3.95,3.98,2.46,6.314
8854,0.74,Ideal,F,VS1,62.3,56.0,5.79,5.76,3.6,8.061
8855,0.36,Premium,H,VS2,60.0,62.0,4.62,4.58,2.76,6.592
8856,0.51,Ideal,E,SI1,62.4,55.0,5.14,5.09,3.19,7.274
8857,0.31,Very Good,H,VS1,63.2,57.0,4.32,4.29,2.72,6.548
8858,0.31,Ideal,H,IF,62.1,54.0,4.33,4.37,2.7,6.704
8859,0.31,Ideal,E,VVS1,61.7,56.0,4.33,4.36,2.68,6.829
8860,0.9,Very Good,E,VS2,63.3,59.0,6.08,6.12,3.86,8.408
8861,0.7,Ideal,F,SI1,62.2,56.0,5.68,5.7,3.54,7.787
8862,1.43,Very Good,H,SI1,62.8,58.0,7.08,7.13,4.46,8.996
8863,0.51,Ideal,E,SI1,61.5,55.0,5.16,5.18,3.18,7.271
8864,2.16,Premium,I,SI1,58.5,60.0,8.54,8.49,4.98,9.794
8865,1.1,Good,I,SI1,63.1,61.0,6.49,6.56,4.12,8.327
8866,0.36,Premium,E,VS2,62.1,59.0,4.59,4.55,2.84,6.921
8867,0.45,Ideal,G,SI1,61.6,54.0,4.96,4.98,3.06,6.723
8868,1.51,Very Good,H,SI2,60.2,59.0,7.33,7.43,4.44,9.041
8869,0.23,Very Good,E,VVS2,59.7,54.0,4.02,4.05,2.41,6.184
8870,0.9,Very Good,H,VS2,62.1,60.0,6.11,6.2,3.82,8.31
8871,0.91,Ideal,E,SI1,61.9,55.0,6.21,6.23,3.85,8.605
8872,0.33,Premium,G,VVS2,61.5,62.0,4.43,4.39,2.71,6.804
8873,2.01,Premium,H,SI2,61.5,59.0,8.12,8.08,4.98,9.362
8874,0.38,Ideal,D,VS1,62.4,56.0,4.68,4.64,2.91,7.065
8875,1.2,Very Good,J,VS2,58.7,60.0,6.93,6.96,4.08,8.563
8876,1.51,Fair,E,VS2,65.0,58.0,7.06,7.12,4.61,9.459
8877,1.01,Good,G,SI1,63.7,60.0,6.32,6.28,4.01,8.54
8878,0.71,Ideal,G,SI1,62.5,57.0,5.72,5.64,3.55,7.703
8879,0.53,Very Good,E,VS1,61.8,60.0,5.13,5.22,3.2,7.536
8880,1.0,Good,F,SI1,58.1,64.0,6.56,6.6,3.82,8.436
8881,1.59,Ideal,I,SI1,62.4,56.0,7.48,7.46,4.66,9.221
